推: 1,噓: 0,分數: 1,作者: kevin05233 (kk),標題: [問卦] 八卦是不是污名化了八卦？,時間: Sat Dec 16 01:05:00 2023,1,0
推: 3,噓: 0,分數: 3,作者: Anderson0819 (炸醬牛肉烏龍麵),標題: [問卦] 烏俄戰爭最新情報（更新至20231214）興挑,時間: Fri Dec 15 20:23:56 2023,3,0
推: 0,噓: 0,分數: 0,作者: Articuno (水噹噹),標題: [新聞] 中國疫情蔓延香港 重症死亡病例增加,時間: Fri Dec 15 20:16:36 2023,0,0
推: 3,噓: 1,分數: 2,作者: KZS (肚肚怪怪的),標題: [問卦] 貼別人邪教標籤有甚麼目的？,時間: Fri Dec 15 20:32:55 2023,3,1
推: 5,噓: 3,分數: 2,作者: Clarkliu (noname),標題: [新聞] BMW女駕駛違規撞2車…等待救護躺草皮照曝,時間: Sat Dec 16 03:21:36 2023,5,3
推: 10,噓: 1,分數: 9,作者: qazxsw123 (小新),標題: [問卦] 台灣yt女神是誰,時間: Fri Dec 15 21:31:49 2023,10,1
推: 10,噓: 46,分數: -36,作者: felixden (Gura的老公),標題: [問卦] 震怒！妹妹把內衣丟在我床上該怎麼教訓她,時間: Fri Dec 15 21:13:58 2023,10,46
推: 1,噓: 0,分數: 1,作者: CHELun (那個人),標題: Re: [問卦] 其實台灣人根本不想解決問題吧？,時間: Sat Dec 16 08:53:46 2023,1,0
推: 0,噓: 0,分數: 0,作者: mynameisdick (我就是屌),標題: Re: [問卦] 保險存摺積極引導升級白金會員？,時間: Fri Dec 15 22:22:23 2023,0,0
推: 30,噓: 6,分數: 24,作者: jganet (),標題: [新聞] 吳欣盈驚人回擊！遭批對中共噤聲 口誤嗆「斷交部」講的不多置評,時間: Sat Dec 16 08:17:03 2023,30,6
推: 8,噓: 1,分數: 7,作者: a10141013 (FlyBall),標題: [新聞] 川普復仇有望？　拜登7大搖擺州總統民調,時間: Fri Dec 15 21:18:52 2023,8,1
推: 8,噓: 11,分數: -3,作者: james7923 (詹姆士Q),標題: [新聞] 紅線違停不開放檢舉！王國材：很多人誤解,時間: Sat Dec 16 08:40:38 2023,8,11
推: 27,噓: 4,分數: 23,作者: Omnitrix (?),標題: [新聞] 新莊鐵棍哥超兇！轉彎爭道爆行車糾紛　大街擋車嗆罵喊打,時間: Fri Dec 15 20:28:15 2023,27,4
推: 13,噓: 7,分數: 6,作者: xzcb2008 (可愛老娘變態貓貓=.=),標題: [問卦] =.= 看到八卦板友墜入水桶會哀傷嗎？！,時間: Fri Dec 15 19:43:46 2023,13,7
推: 3,噓: 0,分數: 3,作者: zakijudelo (Zack),標題: [問卦] 派網軍攻擊又批沒誠信，後來怎又變麻吉,時間: Fri Dec 15 20:33:05 2023,3,0
推: 15,噓: 1,分數: 14,作者: glenex (薄薄),標題: [問卦] 各位學過最廢才藝是什麼？,時間: Fri Dec 15 23:54:22 2023,15,1
推: 2,噓: 0,分數: 2,作者: starcookey (星星餅乾出品，避暑佳作),標題: [問卦] 急！一起比賽的覆面選手不見了！,時間: Fri Dec 15 21:39:52 2023,2,0
推: 6,噓: 0,分數: 6,作者: lianpig5566 (家庭教師殺手里包恩),標題: [問卦] 新兵日記跳傘是真跳嗎,時間: Fri Dec 15 19:40:21 2023,6,0
推: 5,噓: 1,分數: 4,作者: msis20 (Hi~),標題: [問卦] 物價是不是還在漲呀？,時間: Sat Dec 16 00:06:01 2023,5,1
推: 2,噓: 0,分數: 2,作者: lpbrother (LP哥(LP = Love & Peace)),標題: [新聞] 獨／昔男團偶像25歲當爸 吐心聲：若重來,時間: Sat Dec 16 06:46:23 2023,2,0
推: 19,噓: 2,分數: 17,作者: myis8787 (white),標題: [問卦] 統神會不會駝背得太嚴重了？,時間: Fri Dec 15 20:58:55 2023,19,2
推: 56,噓: 3,分數: 53,作者: razan (僅供參考),標題: [新聞] 關務人員涉放行7萬4600條加熱菸 海關：主,時間: Fri Dec 15 23:09:47 2023,56,3
推: 219,噓: 40,分數: 179,作者: HTC92 (中国台湾人的驕傲-92共識),標題: [新聞] 民進黨掛「清廉、勤政、愛鄉土」標語 柯,時間: Sat Dec 16 00:41:23 2023,219,40
推: 11,噓: 1,分數: 10,作者: than09138 (悔改中),標題: [問卦] 明天睡到飽要吃涓豆腐有什麼要注意的？,時間: Sat Dec 16 03:01:50 2023,11,1
推: 3,噓: 0,分數: 3,作者: smallplug (廢到笑),標題: [問卦] 所以現在的版本是四輪大爺還是行人皇帝？,時間: Fri Dec 15 20:48:12 2023,3,0
推: 3,噓: 0,分數: 3,作者: kenq5566 (肯Q),標題: [問卦] 橘高校的學姊學妹制嚴重嗎?,時間: Fri Dec 15 23:19:26 2023,3,0
推: 4,噓: 1,分數: 3,作者: qq326 (夢想當個好爺爺),標題: [問卦] 楊清順有結婚生小孩嗎?,時間: Fri Dec 15 19:28:40 2023,4,1
推: 49,噓: 1,分數: 48,作者: wwwsss1229 (ChuLin),標題: [問卦] 什麼事是台灣可以做 國外不行做?,時間: Fri Dec 15 20:53:49 2023,49,1
推: 0,噓: 0,分數: 0,作者: ayasesayuki (綾瀨紗雪),標題: Re: [問卦] 統神:我會給小孩一人一棟房子+500萬,時間: Sat Dec 16 00:07:52 2023,0,0
推: 464,噓: 26,分數: 438,作者: jackymars5 ((                )),標題: [問卦] 肺癌第四期存活率多少,時間: Fri Dec 15 22:28:58 2023,464,26
推: 4,噓: 1,分數: 3,作者: Yuijian (將將好),標題: [問卦] 認真！一個人、北部 可以吃什麼美食？,時間: Sat Dec 16 00:14:36 2023,4,1
推: 8,噓: 0,分數: 8,作者: lockinboy (嘿唷嘿唷),標題: [問卦] 2024台灣出生率會谷底反彈嗎,時間: Fri Dec 15 20:42:13 2023,8,0
推: 26,噓: 7,分數: 19,作者: TWipc (認真文產生器),標題: [問卦] 認真文 身邊很多人都想移民離開台灣,時間: Sat Dec 16 00:00:41 2023,26,7
推: 10,噓: 2,分數: 8,作者: Waitaha (pinga),標題: [新聞] 跌不停！陸11月一二手房售價延續降勢 購,時間: Fri Dec 15 22:47:07 2023,10,2
推: 3,噓: 1,分數: 2,作者: filmystery (P.B. take me to the US),標題: [問卦] 阿備跟一代梟雄的對話到底是誰洩漏出去??,時間: Fri Dec 15 23:45:25 2023,3,1
推: 1,噓: 3,分數: -2,作者: donloveme1 (こより一生推),標題: [問卦] 淚腺發達是怎樣的一種體驗？,時間: Fri Dec 15 22:13:37 2023,1,3
推: 0,噓: 0,分數: 0,作者: Mopack22926 (阿翔),標題: [問卦] 國文課本裡都文為啥都是中國人寫,時間: Sat Dec 16 09:00:05 2023,0,0
推: 2,噓: 0,分數: 2,作者: hihong2004 (海瘋),標題: Re: [新聞] 「不該說追回獎項」Cheap道歉了：真的,時間: Fri Dec 15 23:59:49 2023,2,0
推: 4,噓: 4,分數: 0,作者: jis0077 (一個人的輕旅行),標題: [新聞] 貿易壁壘不利綠選情 死當,時間: Fri Dec 15 21:21:18 2023,4,4
推: 0,噓: 0,分數: 0,作者: q347 (我家隔壁北川景子),標題: Re: [問卦] 總統出訪要低調嗎？,時間: Fri Dec 15 20:16:21 2023,0,0
推: 10,噓: 1,分數: 9,作者: Taiwanese (臺灣人),標題: [問卦] 以前玩寶可夢 誰會用素利柏,時間: Sat Dec 16 02:47:09 2023,10,1
推: 2,噓: 2,分數: 0,作者: zxcv91039 (人類的惡意),標題: [問卦] 台灣爛尾樓,時間: Sat Dec 16 01:36:31 2023,2,2
推: 2,噓: 1,分數: 1,作者: funsky (小妹笑嘻嘻OuO),標題: [問卦] 欸欸 當人形貓貓就可以幫女主人洗澡嗎,時間: Fri Dec 15 23:07:02 2023,2,1
推: 8,噓: 1,分數: 7,作者: llgod (Wryyyyyyyy),標題: [問卦] 今夜又是 落著小雨的暗暝,時間: Sat Dec 16 07:11:11 2023,8,1
推: 9,噓: 4,分數: 5,作者: amoyui (clom),標題: [問卦] 為啥女生比較不注重男生的顏值？,時間: Sat Dec 16 00:41:44 2023,9,4
